clip_id,best_lag,zero_lag_iou,peak_iou,improvement,peak_margin,n_models,model_spread,vad_lag,vad_agrees,duration,flagged,reason,proposed_offset_sec,verified,note
2iMXYxBTwbM__339_401,4.64,0.6914351582527161,0.959333062171936,0.26789790391921997,0.13503926992416382,3,0.009999999999999787,4.5600000000000005,True,62.0,True,strong candidate,4.5,,
7YfsQPYY-W0__351_411,4.5200000000000005,0.9278212785720825,0.988878607749939,0.061057329177856445,0.03535240888595581,3,0.23000000000000043,4.5,True,60.0,True,strong candidate,4.5,,
4Qg2jWP6_T0__136_202,4.04,0.8367883563041687,0.9396206736564636,0.10283231735229492,0.07263970375061035,3,0.20999999999999996,4.07,True,66.0,True,strong candidate,4.0,,
7k-xDqNjESc__73_981,4.01,0.875363290309906,0.9394301176071167,0.0640668272972107,0.04771840572357178,3,0.1900000000000004,4.07,True,908.0,True,strong candidate,4.0,,
IAm1rt-MYcA__4_558,3.98,0.8701244592666626,0.9626641273498535,0.09253966808319092,0.043048202991485596,3,0.040000000000000036,4.03,True,554.0,True,strong candidate,4.0,,
L7xRazDdtgw__19_83,3.92,0.6446313261985779,0.8610278964042664,0.21639657020568848,0.10829746723175049,3,0.08000000000000007,3.91,True,64.0,True,strong candidate,4.0,,
87Zbup3ohcw__106_445,3.63,0.8734050393104553,0.9571610689163208,0.08375602960586548,0.04814940690994263,3,0.54,3.58,True,339.0,True,strong candidate,3.5,,
7L4gi7Ncc0s__90_148,3.02,0.899982750415802,0.9761001467704773,0.07611739635467529,0.03549879789352417,3,3.02,3.0700000000000003,True,58.0,True,strong candidate,3.0,,
OXUt5KnlUMo__91_181,3.0,0.8965440392494202,0.9596620798110962,0.06311804056167603,0.044808268547058105,3,5.48,2.96,True,90.0,True,strong candidate,3.0,,
LBIWBxQ5H1s__90_1020,3.0,0.9150561690330505,0.9719046950340271,0.05684852600097656,0.044367074966430664,3,0.040000000000000036,3.0700000000000003,True,930.0,True,strong candidate,3.0,,
6ZeRgvDHwcI__6_100,2.98,0.554302990436554,0.7701593637466431,0.2158563733100891,0.18337535858154297,3,0.03000000000000025,2.97,True,94.0,True,strong candidate,3.0,,
0p6cktLGIfY__12_930,2.91,0.7859874367713928,0.9604021310806274,0.17441469430923462,0.057534098625183105,3,2.09,2.86,True,918.0,True,strong candidate,3.0,,
JBYGLQJwFDc__103_407,2.8000000000000003,0.753673255443573,0.9420776963233948,0.18840444087982178,0.07881385087966919,3,2.8000000000000003,2.7600000000000002,True,304.0,True,strong candidate,3.0,,
2HGP34TNvjg__84_194,2.24,0.8422287106513977,0.9086798429489136,0.06645113229751587,0.0373879075050354,3,2.68,2.32,True,110.0,True,strong candidate,2.0,,
6f6TLzlP8Wk__82_144,2.07,0.8404392600059509,0.9552079439163208,0.11476868391036987,0.07063823938369751,3,0.040000000000000036,2.07,True,62.0,True,strong candidate,2.0,,
Gq45evw6ytY__597_1464,2.02,0.8982256650924683,0.9615004062652588,0.06327474117279053,0.04918217658996582,3,1.4900000000000002,1.98,True,867.0,True,strong candidate,2.0,,
Kdi-ECuOaKg__2_78,2.0,0.49165621399879456,0.6348982453346252,0.1432420313358307,0.07401120662689209,3,4.1,-5.0,False,76.0,True,strong candidate,2.0,,
PSIzXy5-y2E__2_918,2.0,0.8334159255027771,0.9383305907249451,0.10491466522216797,0.06577801704406738,3,0.22999999999999998,2.0300000000000002,True,916.0,True,strong candidate,2.0,,
0SoItGfM_sY__7_88,1.93,0.7700205445289612,0.8983808159828186,0.12836027145385742,0.042112112045288086,3,0.4099999999999999,2.0300000000000002,True,81.0,True,strong candidate,2.0,,
DPmew0didIM__191_512,1.93,0.8825643658638,0.9474095106124878,0.06484514474868774,0.04274463653564453,3,0.020000000000000018,1.87,True,321.0,True,strong candidate,2.0,,
Jc5AVwg2cZM__153_214,1.44,0.6912671327590942,0.9405900835990906,0.24932295083999634,0.1224927306175232,3,0.1200000000000001,1.47,True,61.0,True,strong candidate,1.5,,
Tlha36rSd5o__240_374,1.37,0.8495522141456604,0.9412892460823059,0.09173703193664551,0.0530967116355896,3,0.040000000000000036,1.26,True,134.0,True,strong candidate,1.5,,
Cku_X_SL7qU__60_660,1.31,0.6684258580207825,0.7957630753517151,0.12733721733093262,0.07669305801391602,3,0.030000000000000027,1.4000000000000001,True,600.0,True,strong candidate,1.5,,
T3I2T-cfhG4__160_210,1.31,0.9037807583808899,0.963308572769165,0.059527814388275146,0.03999018669128418,3,1.33,1.3900000000000001,True,50.0,True,strong candidate,1.5,,
0VEwL9XZ0LY__261_557,1.24,0.879701554775238,0.9641573429107666,0.08445578813552856,0.05837225914001465,3,1.19,1.33,True,296.0,True,strong candidate,1.0,,
2T4pjueLrsk__677_1290,1.18,0.7846639752388,0.9284967184066772,0.1438327431678772,0.09711015224456787,3,0.030000000000000027,1.1500000000000001,True,613.0,True,strong candidate,1.0,,
86mMTUeDiR8__181_1079,1.02,0.7936781048774719,0.937587320804596,0.14390921592712402,0.09473836421966553,3,0.020000000000000018,0.96,True,898.0,True,strong candidate,1.0,,
